Date,Time,kWh,kVARh,kW,kVAR,kVa,Power Factor
01/01/2015,00:00,5.812,2.871,11.624,5.742,12.9648601997862,0.896576443142721
01/01/2015,00:30,4.904,2.836,9.808,5.672,11.3299779346652,0.865667896516343
01/01/2015,01:00,5.484,3.968,10.968,7.936,13.5379909883261,0.810164698972664
01/01/2015,01:30,5.368,4.1,10.736,8.2,13.5093153046333,0.79471068179367
01/01/2015,02:00,5.012,4.008,10.024,8.016,12.8349834436979,0.780990413458208
01/01/2015,02:30,5.179,4.024,10.358,8.048,13.1171033387711,0.789655893200758
01/01/2015,03:00,4.796,3.224,9.592,6.448,11.5578198636248,0.829914400991444
01/01/2015,03:30,5.26,3.952,10.52,7.904,13.1584041585597,0.799489010001731
01/01/2015,04:00,5.323,4.524,10.646,9.048,13.9715281912896,0.761978167947146
01/01/2015,04:30,4.768,3.755,9.536,7.51,12.1381711966836,0.785620296716681
01/01/2015,05:00,4.624,2.78,9.248,5.56,10.7906996992781,0.857034675234771
01/01/2015,05:30,5.44,3.144,10.88,6.288,12.5663518970304,0.865803785255651
01/01/2015,06:00,6.944,3.668,13.888,7.336,15.7064700044281,0.884221167486511
01/01/2015,06:30,14.56,7.155,29.12,14.31,32.4461153298819,0.897487983411608
01/01/2015,07:00,23.587,10.604,47.174,21.208,51.7220030547928,0.912068321852242
01/01/2015,07:30,39.544,10.04,79.088,20.08,81.5972916217199,0.969247846011852
01/01/2015,08:00,26.56,10.076,53.12,20.152,56.8140616397032,0.934979814095997
01/01/2015,08:30,26.148,10.16,52.296,20.32,56.1050265127823,0.93210899481843
01/01/2015,09:00,28.664,9.912,57.328,19.824,60.6588031533758,0.945089513365647
01/01/2015,09:30,34.167,10.603,68.334,21.206,71.5487945391116,0.955068502461488
01/01/2015,10:00,35.172,11.491,70.344,22.982,74.0030458832608,0.950555481325785
01/01/2015,10:30,37.98,11.919,75.96,23.838,79.6126371878234,0.954119893749872
01/01/2015,11:00,39.576,11.7,79.152,23.4,82.5384710301808,0.958971005517466
01/01/2015,11:30,39.684,11.527,79.368,23.054,82.6484506811834,0.96030838684125
01/01/2015,12:00,45.376,11.84,90.752,23.68,93.7905538953684,0.967602777956086
01/01/2015,12:30,41.024,11.88,82.048,23.76,85.4190376906694,0.960535294683159
01/01/2015,13:00,36.059,11.243,72.118,22.486,75.5422133644494,0.954671514505607
01/01/2015,13:30,40.948,11.38,81.896,22.76,84.9998376469038,0.963484192164244
01/01/2015,14:00,43.076,11.792,86.152,23.584,89.3217353167749,0.964513295562939
01/01/2015,14:30,40.148,12.647,80.296,25.294,84.1857113766938,0.953796058646337
01/01/2015,15:00,48.604,11.96,97.208,23.92,100.107749949742,0.971033708563085
01/01/2015,15:30,34.824,10.96,69.648,21.92,73.0159598991892,0.953873656159945
01/01/2015,16:00,40.727,11.619,81.454,23.238,84.7039479599387,0.961631685285571
01/01/2015,16:30,40.668,11.719,81.336,23.438,84.6456425340372,0.960900028703245
01/01/2015,17:00,51.336,11.224,102.672,22.448,105.097347254819,0.97692285488048
01/01/2015,17:30,39.852,11.46,79.704,22.92,82.9340340270507,0.961052972309264
01/01/2015,18:00,38.824,12.048,77.648,24.096,81.3008560840536,0.955069899751327
01/01/2015,18:30,41.24,11.792,82.48,23.584,85.7855209228224,0.961467622038058
01/01/2015,19:00,44.548,12.452,89.096,24.904,92.5111150078735,0.963084271828846
01/01/2015,19:30,37.052,13.043,74.104,26.086,78.5613263635486,0.943263080671102
01/01/2015,20:00,35.608,11.78,71.216,23.56,75.0119483815745,0.949395428965654
01/01/2015,20:30,28.028,12.396,56.056,24.792,61.293706039038,0.914547408249355
01/01/2015,21:00,27.716,10.571,55.432,21.142,59.3269820570708,0.934347208849605
01/01/2015,21:30,11.268,5.423,22.536,10.846,25.0101339460627,0.901074589588109
01/01/2015,22:00,5.311,3.303,10.622,6.606,12.5086370160781,0.849172928523871
01/01/2015,22:30,4.996,3.099,9.992,6.198,11.7581971407185,0.849789931497729
01/01/2015,23:00,5.012,3.17,10.024,6.34,11.8606913795107,0.845144132727367
01/01/2015,23:30,4.768,2.996,9.536,5.992,11.2622910635448,0.846718836483336
02/01/2015,00:00,4.928,3.075,9.856,6.15,11.6173663108297,0.84838494558968
02/01/2015,00:30,6.184,3.258,12.368,6.516,13.9794849690538,0.88472573584596
02/01/2015,01:00,7.212,4.028,14.424,8.056,16.5212227150414,0.87305868878375
02/01/2015,01:30,5.228,3.86,10.456,7.72,12.9971689225,0.804483041118024
02/01/2015,02:00,5.035,3.884,10.07,7.768,12.7179715363732,0.791793120231254
02/01/2015,02:30,5.411,3.876,10.822,7.752,13.3119945913451,0.812951078980339
02/01/2015,03:00,5.452,3.728,10.904,7.456,13.209436021269,0.825470631919993
02/01/2015,03:30,5.48,4.176,10.96,8.352,13.7796081221492,0.795378407968731
02/01/2015,04:00,5.724,4.712,11.448,9.424,14.827960075479,0.772054811250249
02/01/2015,04:30,4.928,3.395,9.856,6.79,11.968491968498,0.823495456858459
02/01/2015,05:00,5.176,3.04,10.352,6.08,12.0054321038437,0.86227662261587
02/01/2015,05:30,5.86,3.084,11.72,6.168,13.2439722138035,0.884931325040156
02/01/2015,06:00,19.212,9.388,38.424,18.776,42.7661267827705,0.898467997759367
02/01/2015,06:30,17.112,11.444,34.224,22.888,41.1721070629134,0.831242295114785
02/01/2015,07:00,19.139,11.307,38.278,22.614,44.4589473559597,0.860973989832567
02/01/2015,07:30,30.9,10.519,61.8,21.038,65.2827511675174,0.94665129802022
02/01/2015,08:00,27.844,10.19,55.688,20.38,59.3000640809097,0.939088342026265
02/01/2015,08:30,31.679,10.952,63.358,21.904,67.0374611691105,0.945113338515694
02/01/2015,09:00,30.092,11.195,60.184,22.39,64.2139081508048,0.937242445667116
02/01/2015,09:30,31.308,10.252,62.616,20.504,65.8876134034311,0.950345561004314
02/01/2015,10:00,37.332,10.495,74.664,20.99,77.5583187027672,0.962682018285223
02/01/2015,10:30,33.096,11.011,66.192,22.022,69.759223046132,0.948863764576051
02/01/2015,11:00,39.32,10.743,78.64,21.486,81.5223748427387,0.964643130086438
02/01/2015,11:30,33.244,10.948,66.488,21.896,70.0006342828406,0.949819949428653
02/01/2015,12:00,38.876,11.516,77.752,23.032,81.0915951255122,0.958817020280634
02/01/2015,12:30,28.924,11.848,57.848,23.696,62.5131314205264,0.925373585958616
02/01/2015,13:00,29.882,11.823,59.764,23.646,64.271835200187,0.929862952882577
02/01/2015,13:30,36.924,11.24,73.848,22.48,77.1937665877239,0.956657562640622
02/01/2015,14:00,30.608,10.896,61.216,21.792,64.9791505022957,0.942086809487744
02/01/2015,14:30,29.724,10.888,59.448,21.776,63.3108110831002,0.938986539419231
02/01/2015,15:00,36.512,11.087,73.024,22.174,76.3163861827852,0.956858720997495
02/01/2015,15:30,45.927,11.063,91.854,22.126,94.4813060875007,0.972192318722728
02/01/2015,16:00,42.964,11.18,85.928,22.36,88.789587227332,0.967771140406267
02/01/2015,16:30,30.476,11.491,60.952,22.982,65.1407614324549,0.935696787924799
