Date,Time,kWh,kVARh,kW,kVAR,kVa,Power Factor
01/01/2015,00:00,3.44,1.76,6.88,3.52,7.72818219246933,0.890248162977339
01/01/2015,00:30,3.68,1.96,7.36,3.92,8.33882485725657,0.882618369612982
01/01/2015,01:00,3.48,1.84,6.96,3.68,7.8729918074389,0.884034960308704
01/01/2015,01:30,3.48,1.68,6.96,3.36,7.72859625029022,0.900551636364578
01/01/2015,02:00,3.68,1.92,7.36,3.84,8.30151793348662,0.886584846165455
01/01/2015,02:30,3.68,1.92,7.36,3.84,8.30151793348662,0.886584846165455
01/01/2015,03:00,3.48,1.68,6.96,3.36,7.72859625029022,0.900551636364578
01/01/2015,03:30,3.64,1.84,7.28,3.68,8.15725444006744,0.892457143943129
01/01/2015,04:00,3.52,1.92,7.04,3.84,8.01917701513067,0.877895572914384
01/01/2015,04:30,3.32,1.96,6.64,3.92,7.71077168641375,0.861133005883129
01/01/2015,05:00,3.32,2.08,6.64,4.16,7.83550891774108,0.847424215798642
01/01/2015,05:30,3.96,1.92,7.92,3.84,8.80181799402828,0.8998141071962
01/01/2015,06:00,4.32,1.96,8.64,3.92,9.48767621707233,0.910655022612702
01/01/2015,06:30,4.96,2.2,9.92,4.4,10.8520228529063,0.914115288408495
01/01/2015,07:00,5.48,1.76,10.96,3.52,11.5113856681114,0.952100843112327
01/01/2015,07:30,7.16,1.44,14.32,2.88,14.6067381711318,0.980369459096724
01/01/2015,08:00,8.96,2.72,17.92,5.44,18.7275198571514,0.956880576642772
01/01/2015,08:30,7.92,2.56,15.84,5.12,16.6469216373478,0.951527276037781
01/01/2015,09:00,7.08,2.8,14.16,5.6,15.2271336764343,0.929918939499045
01/01/2015,09:30,7.88,2.44,15.76,4.88,16.4982423306242,0.955253273904587
01/01/2015,10:00,9.6,2.84,19.2,5.68,20.0225472904923,0.958918948795148
01/01/2015,10:30,11.8,2.52,23.6,5.04,24.1321694010298,0.97794771816051
01/01/2015,11:00,9.88,1.52,19.76,3.04,19.9924785857082,0.988371697650617
01/01/2015,11:30,9.8,2.28,19.6,4.56,20.1234589472089,0.973987625657096
01/01/2015,12:00,9.72,2.04,19.44,4.08,19.8635344286962,0.978677791194887
01/01/2015,12:30,10.2,1.6,20.4,3.2,20.6494551986245,0.987919526388226
01/01/2015,13:00,10.48,1.84,20.96,3.68,21.2806014952585,0.984934566096265
01/01/2015,13:30,12.76,2.16,25.52,4.32,25.8830600972914,0.985973061302383
01/01/2015,14:00,11.72,2.08,23.44,4.16,23.8062848844586,0.984613941812581
01/01/2015,14:30,11.48,1.88,22.96,3.76,23.265837616557,0.986854648364803
01/01/2015,15:00,12.24,2.4,24.48,4.8,24.9461500035577,0.981313749677157
01/01/2015,15:30,11.32,2.76,22.64,5.52,23.3032186618072,0.971539611268627
01/01/2015,16:00,10.24,1.72,20.48,3.44,20.7668967349481,0.986184900969564
01/01/2015,16:30,10.04,2.36,20.08,4.72,20.62728290396,0.973468008049915
01/01/2015,17:00,9.48,1.72,18.96,3.44,19.2695407314238,0.983936268345047
01/01/2015,17:30,8.24,1.76,16.48,3.52,16.8517298815285,0.9779411440759
01/01/2015,18:00,6.64,2.04,13.28,4.08,13.8926167441559,0.95590343018614
01/01/2015,18:30,5.76,2.08,11.52,4.16,12.248101893763,0.940553899691695
01/01/2015,19:00,5.64,2.36,11.28,4.72,12.227706244427,0.922495174034871
01/01/2015,19:30,7.0,1.96,14.0,3.92,14.5384455840368,0.962964019714182
01/01/2015,20:00,5.08,2.24,10.16,4.48,11.1038731981233,0.914996039554668
01/01/2015,20:30,4.6,2.16,9.2,4.32,10.1637788248269,0.905175147803029
01/01/2015,21:00,4.08,1.8,8.16,3.6,8.91883400450978,0.914917801572932
01/01/2015,21:30,4.04,1.48,8.08,2.96,8.60511475809591,0.938976437519108
01/01/2015,22:00,3.76,1.28,7.52,2.56,7.9438026158761,0.946649906050144
01/01/2015,22:30,3.68,1.6,7.36,3.2,8.02555917055005,0.917070056253235
01/01/2015,23:00,3.8,1.72,7.6,3.44,8.34227786638637,0.911022159861488
01/01/2015,23:30,3.88,1.76,7.76,3.52,8.52103280125127,0.910687727767048
02/01/2015,00:00,3.72,1.64,7.44,3.28,8.13092860625402,0.915024637441462
02/01/2015,00:30,3.72,1.72,7.44,3.44,8.19677985552863,0.907673517055824
02/01/2015,01:00,3.64,1.64,7.28,3.28,7.98478553249867,0.911733943306287
02/01/2015,01:30,3.92,1.6,7.84,3.2,8.46791591833551,0.925847643695199
02/01/2015,02:00,3.92,1.68,7.84,3.36,8.52966587856758,0.919145030018058
02/01/2015,02:30,3.88,1.64,7.76,3.28,8.42472551481649,0.921098258495491
02/01/2015,03:00,3.64,1.6,7.28,3.2,7.95225754110114,0.915463308673469
02/01/2015,03:30,3.64,1.64,7.28,3.28,7.98478553249867,0.911733943306287
02/01/2015,04:00,3.76,1.72,7.52,3.44,8.26946189301335,0.909369932081487
