"NMI","NMI_Configuration","NMI_Suffix","MDM_Id","Value","UOM","Reading_Date","Quality_Method"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 5:15","A"
"4103693793","E1K1Q1","E1","N1","7.02","KWH","11/02/2016 5:30","A"
"4103693793","E1K1Q1","K1",,"2.556","KVARH","11/02/2016 5:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 5:30","A"
"4103693793","E1K1Q1","E1","N1","6.984","KWH","11/02/2016 5:45","A"
"4103693793","E1K1Q1","K1",,"2.562","KVARH","11/02/2016 5:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 5:45","A"
"4103693793","E1K1Q1","E1","N1","7.014","KWH","11/02/2016 6:00","A"
"4103693793","E1K1Q1","K1",,"2.574","KVARH","11/02/2016 6:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 6:00","A"
"4103693793","E1K1Q1","E1","N1","7.104","KWH","11/02/2016 6:15","A"
"4103693793","E1K1Q1","K1",,"2.556","KVARH","11/02/2016 6:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 6:15","A"
"4103693793","E1K1Q1","E1","N1","7.146","KWH","11/02/2016 6:30","A"
"4103693793","E1K1Q1","K1",,"2.538","KVARH","11/02/2016 6:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 6:30","A"
"4103693793","E1K1Q1","E1","N1","7.734","KWH","11/02/2016 6:45","A"
"4103693793","E1K1Q1","K1",,"2.592","KVARH","11/02/2016 6:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 6:45","A"
"4103693793","E1K1Q1","E1","N1","7.728","KWH","11/02/2016 7:00","A"
"4103693793","E1K1Q1","K1",,"2.58","KVARH","11/02/2016 7:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 7:00","A"
"4103693793","E1K1Q1","E1","N1","7.83","KWH","11/02/2016 7:15","A"
"4103693793","E1K1Q1","K1",,"2.592","KVARH","11/02/2016 7:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 7:15","A"
"4103693793","E1K1Q1","E1","N1","8.076","KWH","11/02/2016 7:30","A"
"4103693793","E1K1Q1","K1",,"2.646","KVARH","11/02/2016 7:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 7:30","A"
"4103693793","E1K1Q1","E1","N1","8.196","KWH","11/02/2016 7:45","A"
"4103693793","E1K1Q1","K1",,"2.712","KVARH","11/02/2016 7:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 7:45","A"
"4103693793","E1K1Q1","E1","N1","9.036","KWH","11/02/2016 8:00","A"
"4103693793","E1K1Q1","K1",,"2.742","KVARH","11/02/2016 8:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 8:00","A"
"4103693793","E1K1Q1","E1","N1","9.396","KWH","11/02/2016 8:15","A"
"4103693793","E1K1Q1","K1",,"2.838","KVARH","11/02/2016 8:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 8:15","A"
"4103693793","E1K1Q1","E1","N1","9.636","KWH","11/02/2016 8:30","A"
"4103693793","E1K1Q1","K1",,"2.862","KVARH","11/02/2016 8:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 8:30","A"
"4103693793","E1K1Q1","E1","N1","9.63","KWH","11/02/2016 8:45","A"
"4103693793","E1K1Q1","K1",,"2.868","KVARH","11/02/2016 8:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 8:45","A"
"4103693793","E1K1Q1","E1","N1","9.366","KWH","11/02/2016 9:00","A"
"4103693793","E1K1Q1","K1",,"2.85","KVARH","11/02/2016 9:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 9:00","A"
"4103693793","E1K1Q1","E1","N1","8.946","KWH","11/02/2016 9:15","A"
"4103693793","E1K1Q1","K1",,"2.832","KVARH","11/02/2016 9:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 9:15","A"
"4103693793","E1K1Q1","E1","N1","9.156","KWH","11/02/2016 9:30","A"
"4103693793","E1K1Q1","K1",,"2.868","KVARH","11/02/2016 9:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 9:30","A"
"4103693793","E1K1Q1","E1","N1","9.15","KWH","11/02/2016 9:45","A"
"4103693793","E1K1Q1","K1",,"2.85","KVARH","11/02/2016 9:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 9:45","A"
"4103693793","E1K1Q1","E1","N1","9.768","KWH","11/02/2016 10:00","A"
"4103693793","E1K1Q1","K1",,"2.886","KVARH","11/02/2016 10:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 10:00","A"
"4103693793","E1K1Q1","E1","N1","9.984","KWH","11/02/2016 10:15","A"
"4103693793","E1K1Q1","K1",,"2.898","KVARH","11/02/2016 10:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 10:15","A"
"4103693793","E1K1Q1","E1","N1","10.002","KWH","11/02/2016 10:30","A"
"4103693793","E1K1Q1","K1",,"2.91","KVARH","11/02/2016 10:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 10:30","A"
"4103693793","E1K1Q1","E1","N1","10.2","KWH","11/02/2016 10:45","A"
"4103693793","E1K1Q1","K1",,"2.928","KVARH","11/02/2016 10:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 10:45","A"
"4103693793","E1K1Q1","E1","N1","10.14","KWH","11/02/2016 11:00","A"
"4103693793","E1K1Q1","K1",,"2.916","KVARH","11/02/2016 11:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 11:00","A"
"4103693793","E1K1Q1","E1","N1","9.99","KWH","11/02/2016 11:15","A"
"4103693793","E1K1Q1","K1",,"2.886","KVARH","11/02/2016 11:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 11:15","A"
"4103693793","E1K1Q1","E1","N1","9.984","KWH","11/02/2016 11:30","A"
"4103693793","E1K1Q1","K1",,"2.88","KVARH","11/02/2016 11:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 11:30","A"
"4103693793","E1K1Q1","E1","N1","9.354","KWH","11/02/2016 11:45","A"
"4103693793","E1K1Q1","K1",,"2.784","KVARH","11/02/2016 11:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 11:45","A"
"4103693793","E1K1Q1","E1","N1","9.336","KWH","11/02/2016 12:00","A"
"4103693793","E1K1Q1","K1",,"2.892","KVARH","11/02/2016 12:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 12:00","A"
"4103693793","E1K1Q1","E1","N1","10.548","KWH","11/02/2016 12:15","A"
"4103693793","E1K1Q1","K1",,"3.138","KVARH","11/02/2016 12:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 12:15","A"
"4103693793","E1K1Q1","E1","N1","11.01","KWH","11/02/2016 12:30","A"
"4103693793","E1K1Q1","K1",,"3.21","KVARH","11/02/2016 12:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 12:30","A"
"4103693793","E1K1Q1","E1","N1","10.842","KWH","11/02/2016 12:45","A"
"4103693793","E1K1Q1","K1",,"3.168","KVARH","11/02/2016 12:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 12:45","A"
"4103693793","E1K1Q1","E1","N1","10.938","KWH","11/02/2016 13:00","A"
"4103693793","E1K1Q1","K1",,"3.18","KVARH","11/02/2016 13:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 13:00","A"
"4103693793","E1K1Q1","E1","N1","11.13","KWH","11/02/2016 13:15","A"
"4103693793","E1K1Q1","K1",,"3.246","KVARH","11/02/2016 13:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 13:15","A"
"4103693793","E1K1Q1","E1","N1","10.782","KWH","11/02/2016 13:30","A"
"4103693793","E1K1Q1","K1",,"3.192","KVARH","11/02/2016 13:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 13:30","A"
"4103693793","E1K1Q1","E1","N1","10.944","KWH","11/02/2016 13:45","A"
"4103693793","E1K1Q1","K1",,"3.204","KVARH","11/02/2016 13:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 13:45","A"
"4103693793","E1K1Q1","E1","N1","10.614","KWH","11/02/2016 14:00","A"
"4103693793","E1K1Q1","K1",,"3.132","KVARH","11/02/2016 14:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 14:00","A"
"4103693793","E1K1Q1","E1","N1","9.732","KWH","11/02/2016 14:15","A"
"4103693793","E1K1Q1","K1",,"2.868","KVARH","11/02/2016 14:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 14:15","A"
"4103693793","E1K1Q1","E1","N1","9.396","KWH","11/02/2016 14:30","A"
"4103693793","E1K1Q1","K1",,"2.796","KVARH","11/02/2016 14:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 14:30","A"
"4103693793","E1K1Q1","E1","N1","9.72","KWH","11/02/2016 14:45","A"
"4103693793","E1K1Q1","K1",,"2.832","KVARH","11/02/2016 14:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 14:45","A"
"4103693793","E1K1Q1","E1","N1","10.218","KWH","11/02/2016 15:00","A"
